order_item_id,order_id,item_type,item_id,quantity
1,1485,food,6,4
2,1352,book,42,1
3,289,food,3,3
4,950,book,2,4
5,457,food,6,2
6,465,book,18,2
7,2223,book,25,4
8,1105,food,5,2
9,1054,book,39,4
10,1885,food,4,1
11,665,food,6,4
12,407,book,47,3
13,2970,food,1,3
14,2552,food,2,4
15,756,food,10,2
16,2571,book,7,4
17,498,food,9,4
18,1868,food,6,3
19,721,food,1,2
20,48,food,6,3
21,1847,book,39,4
22,2304,book,52,1
23,824,food,4,2
24,1755,food,10,1
25,479,book,47,2
26,2549,book,28,2
27,3000,book,38,2
28,106,book,52,4
29,362,book,41,2
30,2262,food,3,3
31,843,book,26,1
32,698,book,42,3
33,2051,book,17,1
34,2522,book,31,2
35,1328,book,5,3
36,1379,book,34,1
37,2177,food,4,1
38,183,food,3,1
39,1698,food,8,1
40,2852,book,38,2
41,1217,book,4,1
42,817,food,10,2
43,929,food,7,4
44,1928,food,4,3
45,2326,book,24,1
46,946,food,9,4
47,1802,book,44,2
48,236,book,12,4
49,1923,food,8,2
50,2586,book,57,2
51,1320,food,8,2
52,2186,food,1,4
53,557,book,37,2
54,698,food,2,2
55,1373,food,2,4
56,802,book,13,2
57,515,food,7,1
58,1048,food,1,2
59,2040,book,33,4
60,2550,book,16,3
61,1608,food,6,2
62,2960,food,4,4
63,1225,book,18,3
64,192,book,60,2
65,2556,book,46,3
66,2493,book,23,1
67,2238,book,36,4
68,1311,book,5,3
69,584,book,8,3
70,2137,book,14,3
71,277,book,19,1
72,2711,food,10,4
73,2860,food,5,3
74,2069,food,5,2
75,861,food,2,4
76,1818,food,7,3
77,531,food,10,3
78,1003,food,2,3
79,1786,book,18,3
80,1789,book,9,4
81,956,book,22,4
82,1074,book,47,1
83,678,food,4,3
84,1074,book,40,2
85,607,food,3,2
86,1192,food,3,2
87,251,food,5,3
88,400,food,3,2
89,830,food,1,3
90,1654,food,8,3
91,1155,book,53,3
92,2405,book,24,1
93,603,book,17,3
94,1314,food,5,1
95,2857,book,9,1
96,236,food,4,4
97,2909,book,6,1
98,104,food,5,2
99,1800,food,1,3
100,1019,book,28,1
101,1478,book,47,4
102,247,book,16,2
103,1339,book,5,2
104,1160,food,5,2
105,2511,book,36,1
106,2170,food,4,2
107,2391,book,40,1
108,1398,food,5,3
109,1222,book,5,2
110,801,food,8,2
111,104,book,51,2
112,2713,food,5,4
113,2376,food,8,1
114,1126,food,3,3
115,728,food,4,4
116,2721,food,4,4
117,2057,book,50,1
118,2465,food,9,2
119,1016,book,43,1
120,633,book,42,3
121,2875,book,12,1
122,1572,food,10,1
123,690,food,5,4
124,50,food,7,2
125,442,food,6,2
126,135,food,4,3
127,1340,book,19,1
128,2904,book,16,4
129,498,book,3,2
130,2835,book,46,4
131,469,food,10,4
132,1243,book,47,3
133,2205,book,20,3
134,155,food,9,2
135,1186,food,4,2
136,2586,book,20,4
137,2474,book,39,4
138,1282,book,21,1
139,1904,book,56,3
140,1025,book,14,2
141,967,book,22,3
142,2623,food,2,3
143,1793,book,18,4
144,1903,book,38,4
145,1571,book,14,3
146,99,food,10,2
147,1152,food,1,4
148,1232,food,7,4
149,2847,book,10,1
150,1656,food,7,4
151,1187,book,10,2
152,2428,book,54,1
153,1779,book,33,1
154,2500,book,58,3
155,2508,food,9,3
156,2440,food,3,1
157,869,food,7,2
158,2983,food,7,4
159,1471,food,9,1
160,2122,food,9,1
161,1893,food,5,3
162,1361,book,11,3
163,553,book,12,2
164,449,book,31,4
165,2952,book,7,4
166,640,book,14,1
167,2990,food,5,1
168,2969,food,10,4
169,973,book,46,2
170,1170,book,14,3
171,2442,food,3,4
172,254,food,1,2
173,403,food,9,1
174,586,food,7,4
175,1411,food,3,2
176,2048,food,1,4
177,1700,book,13,2
178,1794,food,9,3
179,1067,book,19,1
180,2578,food,3,1
181,1026,food,1,1
182,2332,book,21,3
183,1032,book,53,4
184,458,food,10,3
185,2139,book,15,2
186,183,book,24,1
187,2423,food,4,3
188,397,food,8,4
189,221,book,44,4
190,20,food,8,4
191,697,food,4,3
192,618,book,13,3
193,2007,food,5,1
194,303,food,10,3
195,284,book,41,3
196,2552,food,7,1
197,2753,book,56,2
198,2772,book,36,2
199,919,book,29,1
200,2639,food,3,1
201,230,food,5,1
202,2516,food,6,1
203,1073,book,13,1
204,642,book,28,1
205,2356,book,51,4
206,335,book,17,1
207,2514,book,47,4
208,148,book,45,2
209,2187,book,40,3
210,1805,food,7,3
211,1125,book,46,3
212,2088,food,1,1
213,1702,food,8,3
214,273,book,24,2
215,2779,food,7,2
216,1628,food,7,1
217,325,book,29,3
218,2438,food,9,3
219,2550,book,11,3
220,2802,food,2,3
221,1660,food,8,4
222,695,book,8,1
223,1841,book,28,4
224,493,food,2,2
225,623,book,7,1
226,2321,book,60,1
227,312,book,40,4
228,398,book,35,2
229,2939,book,10,1
230,2308,book,59,4
231,448,book,23,4
232,1686,book,25,4
233,298,food,8,3
234,2214,book,12,3
235,1053,book,42,2
236,1029,food,5,1
237,1619,book,7,3
238,2963,food,10,2
239,2414,food,4,2
240,2779,book,33,3
241,2887,food,6,2
242,1052,food,1,4
243,2422,book,52,2
244,1980,book,11,1
245,1188,food,6,2
246,1509,book,34,3
247,891,food,3,2
248,1165,food,2,3
249,782,book,53,4
250,2385,book,17,2
251,915,food,1,2
252,1067,book,45,2
253,2932,food,5,4
254,1747,book,2,3
255,2300,book,45,4
256,2984,food,6,3
257,2233,food,7,1
258,2255,food,4,1
259,207,food,3,1
260,2459,food,8,4
261,1400,food,6,1
262,31,book,54,4
263,2419,food,1,1
264,2337,food,3,4
265,578,book,33,3
266,504,book,37,2
267,290,food,2,4
268,1221,book,38,1
269,1161,food,1,1
270,613,food,5,4
271,740,book,7,2
272,36,book,4,2
273,94,food,2,2
274,2623,book,25,1
275,2236,food,7,3
276,1914,food,3,1
277,1560,food,3,4
278,939,food,3,4
279,1776,food,5,4
280,1937,food,1,4
281,1657,food,7,1
282,797,food,10,3
283,2113,food,2,2
284,948,food,7,3
285,1347,food,10,3
286,1088,book,39,3
287,1008,book,28,1
288,1539,book,21,3
289,9,book,56,1
290,2661,book,2,2
291,166,food,9,4
292,1555,book,58,3
293,1257,book,33,2
294,2758,food,1,1
295,2405,food,2,2
296,640,book,32,4
297,44,book,6,3
298,1521,book,41,4
299,1968,food,5,1
300,2647,book,16,2
301,1506,food,5,3
302,2833,food,5,4
303,2504,book,5,2
304,2599,book,48,4
305,2807,food,10,3
306,2446,book,13,1
307,2034,food,9,3
308,93,book,42,1
309,1283,book,46,1
310,1967,book,13,4
311,1118,food,6,2
312,2230,book,4,3
313,2177,food,5,4
314,1238,book,26,3
315,796,food,9,3
316,1879,book,14,3
317,2486,food,8,1
318,1217,book,55,2
319,2330,book,16,1
320,2996,food,10,4
321,2468,book,14,3
322,2922,book,27,3
323,1141,book,8,1
324,1867,food,5,1
325,1383,book,28,1
326,2036,book,12,4
327,1986,book,39,1
328,1629,food,10,3
